session_id,session_label,lap_number,sector,sector_time_s,avg_speed_kmh,min_speed_kmh,max_speed_kmh,avg_throttle_pct,peak_brake_pct,gap_to_sector_best_s
S04,Cooling system degraded,1,Sector 1,20.1,69.65,0.0,109.92,52.77,100.0,2.4
S04,Cooling system degraded,1,Sector 2,16.5,67.57,55.44,100.19,35.03,100.0,0.1
S04,Cooling system degraded,1,Sector 3,23.2,62.03,38.07,111.84,47.18,100.0,0.3
S04,Cooling system degraded,2,Sector 1,17.8,79.01,62.85,112.94,45.48,100.0,0.1
S04,Cooling system degraded,2,Sector 2,16.5,67.66,55.76,100.41,35.77,99.6,0.1
S04,Cooling system degraded,2,Sector 3,22.9,62.87,38.48,112.09,48.17,100.0,0.0
S04,Cooling system degraded,3,Sector 1,18.1,77.76,62.0,112.81,44.52,100.0,0.4
S04,Cooling system degraded,3,Sector 2,16.6,67.22,55.52,99.92,35.27,100.0,0.2
S04,Cooling system degraded,3,Sector 3,23.1,62.26,38.29,111.91,47.7,100.0,0.2
S04,Cooling system degraded,4,Sector 1,17.7,79.6,63.45,112.72,45.43,100.0,0.0
S04,Cooling system degraded,4,Sector 2,16.6,67.24,55.61,100.12,34.94,100.0,0.2
S04,Cooling system degraded,4,Sector 3,23.6,60.98,37.85,111.42,46.27,100.0,0.7
S04,Cooling system degraded,5,Sector 1,17.8,79.01,63.01,112.88,45.61,99.7,0.1
S04,Cooling system degraded,5,Sector 2,16.5,67.93,56.03,100.16,35.16,100.0,0.1
S04,Cooling system degraded,5,Sector 3,23.1,62.3,38.03,111.85,47.43,100.0,0.2
S04,Cooling system degraded,6,Sector 1,17.8,79.27,63.13,112.88,45.06,98.6,0.1
S04,Cooling system degraded,6,Sector 2,16.4,67.75,56.13,99.9,35.01,100.0,0.0
S04,Cooling system degraded,6,Sector 3,23.1,62.32,38.3,111.96,47.82,100.0,0.2
S04,Cooling system degraded,7,Sector 1,17.7,79.49,63.36,112.83,45.31,100.0,0.0
S04,Cooling system degraded,7,Sector 2,16.4,68.24,56.55,100.35,35.46,100.0,0.0
S04,Cooling system degraded,7,Sector 3,22.9,62.69,38.41,112.05,47.71,100.0,0.0
S04,Cooling system degraded,8,Sector 1,17.8,78.98,62.81,112.87,45.1,97.2,0.1
S04,Cooling system degraded,8,Sector 2,16.5,67.93,56.03,100.31,35.51,100.0,0.1
S04,Cooling system degraded,8,Sector 3,23.0,62.51,38.17,111.91,47.56,100.0,0.1
S05,Push session,1,Sector 1,19.5,71.68,0.0,109.99,53.69,88.7,2.4
S05,Push session,1,Sector 2,15.9,70.22,58.64,100.25,34.96,100.0,0.1
S05,Push session,1,Sector 3,22.3,64.67,40.1,112.32,49.14,100.0,0.0
S05,Push session,2,Sector 1,17.2,81.75,65.99,112.9,45.22,92.0,0.1
S05,Push session,2,Sector 2,16.0,69.9,58.27,100.43,35.19,100.0,0.2
S05,Push session,2,Sector 3,22.3,64.62,40.12,112.18,49.1,100.0,0.0
S05,Push session,3,Sector 1,17.2,81.89,65.93,112.89,45.12,93.3,0.1
S05,Push session,3,Sector 2,16.0,69.83,58.22,100.69,35.29,100.0,0.2
S05,Push session,3,Sector 3,22.4,64.19,40.16,112.01,48.51,100.0,0.1
S05,Push session,4,Sector 1,17.2,82.07,66.41,112.92,45.13,91.8,0.1
S05,Push session,4,Sector 2,15.8,70.41,58.82,100.33,34.67,100.0,0.0
S05,Push session,4,Sector 3,22.4,64.28,40.26,112.08,48.6,100.0,0.1
S05,Push session,5,Sector 1,17.1,82.3,66.59,112.83,45.09,90.6,0.0
S05,Push session,5,Sector 2,16.0,69.96,58.45,100.56,35.18,100.0,0.2
S05,Push session,5,Sector 3,22.4,64.24,40.29,111.93,48.69,100.0,0.1
S05,Push session,6,Sector 1,17.2,81.74,65.91,112.86,44.95,93.6,0.1
S05,Push session,6,Sector 2,16.0,70.0,58.58,100.4,35.15,100.0,0.2
S05,Push session,6,Sector 3,22.3,64.47,40.18,112.1,48.82,100.0,0.0
S05,Push session,7,Sector 1,17.1,82.27,66.54,112.94,45.28,92.3,0.0
S05,Push session,7,Sector 2,16.0,70.03,58.32,100.41,35.07,100.0,0.2
S05,Push session,7,Sector 3,22.3,64.47,40.51,111.96,48.91,100.0,0.0
S05,Push session,8,Sector 1,17.1,82.18,66.25,112.9,45.37,97.3,0.0
S05,Push session,8,Sector 2,16.0,69.97,58.43,100.4,35.01,100.0,0.2
S05,Push session,8,Sector 3,22.4,64.18,40.08,112.14,48.91,100.0,0.1
S06,Weak cell under load,1,Sector 1,20.0,69.99,0.0,109.91,52.73,96.3,2.6
S06,Weak cell under load,1,Sector 2,16.3,68.5,56.69,100.27,35.32,99.3,0.1
S06,Weak cell under load,1,Sector 3,22.8,63.25,39.08,112.04,48.23,100.0,0.2
S06,Weak cell under load,2,Sector 1,17.5,80.32,64.33,112.78,44.97,100.0,0.1
S06,Weak cell under load,2,Sector 2,16.2,69.15,57.42,100.49,35.89,98.7,0.0
S06,Weak cell under load,2,Sector 3,22.7,63.41,39.29,111.98,48.07,100.0,0.1
S06,Weak cell under load,3,Sector 1,17.4,80.88,65.39,112.77,45.44,97.9,0.0
S06,Weak cell under load,3,Sector 2,16.2,69.03,57.34,100.27,35.09,100.0,0.0
S06,Weak cell under load,3,Sector 3,22.6,63.66,39.14,112.18,48.54,100.0,0.0
S06,Weak cell under load,4,Sector 1,17.6,80.18,64.25,112.91,45.79,95.1,0.2
S06,Weak cell under load,4,Sector 2,16.3,68.26,56.68,100.12,35.59,100.0,0.1
S06,Weak cell under load,4,Sector 3,22.8,63.28,38.82,112.12,48.09,100.0,0.2
S06,Weak cell under load,5,Sector 1,17.6,80.17,64.38,112.74,45.43,97.8,0.2
S06,Weak cell under load,5,Sector 2,16.3,68.22,56.54,100.4,35.19,100.0,0.1
S06,Weak cell under load,5,Sector 3,22.7,63.52,39.35,112.04,48.41,100.0,0.1
S06,Weak cell under load,6,Sector 1,17.6,80.17,64.11,112.83,45.16,99.9,0.2
S06,Weak cell under load,6,Sector 2,16.2,68.9,57.7,99.95,35.42,100.0,0.0
S06,Weak cell under load,6,Sector 3,22.7,63.32,39.24,111.86,48.03,100.0,0.1
S06,Weak cell under load,7,Sector 1,17.5,80.44,64.56,112.81,45.22,97.3,0.1
S06,Weak cell under load,7,Sector 2,16.3,68.52,56.85,100.36,35.29,100.0,0.1
S06,Weak cell under load,7,Sector 3,22.7,63.44,39.09,112.07,48.19,100.0,0.1
S06,Weak cell under load,8,Sector 1,17.5,80.46,64.72,112.79,45.22,97.6,0.1
S06,Weak cell under load,8,Sector 2,16.3,68.5,56.88,100.52,35.36,100.0,0.1
S06,Weak cell under load,8,Sector 3,22.6,63.76,39.37,112.1,48.56,100.0,0.0
