session_id,lap_a,lap_b,distance_m,track_section,speed_a_kmh,speed_b_kmh,speed_delta_kmh,throttle_a_pct,throttle_b_pct,throttle_delta_pct,brake_a_pct,brake_b_pct,brake_delta_pct,elapsed_a_s,elapsed_b_s,time_delta_s,delta_rate_s_per_100m
S02,2,3,160.0,Main Straight,112.64,112.73,0.09,79.2,82.9,3.7,0.0,0.0,0.0,5.831,5.829,-0.002,0.0
S02,2,3,165.0,Main Straight,112.8,112.9,0.1,41.0,5.3,-35.6,0.0,87.0,87.0,5.991,5.989,-0.002,0.0
S02,2,3,170.0,Main Straight,112.77,105.1,-7.68,17.6,2.4,-15.2,50.3,94.3,44.0,6.15,6.157,0.007,0.18
S02,2,3,175.0,Main Straight,106.98,96.87,-10.12,0.7,1.0,0.3,91.5,70.3,-21.2,6.316,6.34,0.024,0.34
S02,2,3,180.0,Main Straight,99.1,90.43,-8.67,0.9,0.0,-0.9,77.3,51.7,-25.6,6.494,6.536,0.042,0.36
S02,2,3,185.0,Main Straight,92.26,85.41,-6.85,0.0,2.0,1.9,54.9,38.5,-16.4,6.686,6.744,0.058,0.32
S02,2,3,190.0,Main Straight,86.88,81.56,-5.31,0.1,0.0,-0.1,44.6,28.5,-16.1,6.89,6.962,0.072,0.28
S02,2,3,195.0,Main Straight,82.38,78.41,-3.97,1.9,0.0,-1.9,33.0,20.3,-12.8,7.106,7.189,0.083,0.22
S02,2,3,200.0,Main Straight,78.85,76.29,-2.56,1.1,2.6,1.5,20.8,11.7,-9.0,7.332,7.423,0.091,0.16
S02,2,3,205.0,Main Straight,76.59,74.81,-1.78,0.0,2.1,2.1,17.0,14.9,-2.0,7.565,7.662,0.097,0.12
S02,2,3,210.0,Main Straight,74.6,73.13,-1.47,0.0,3.9,3.9,17.2,12.3,-4.9,7.804,7.907,0.103,0.12
S02,2,3,215.0,Main Straight,72.57,71.43,-1.14,1.2,57.1,55.9,17.5,5.5,-11.9,8.05,8.157,0.107,0.08
S02,2,3,220.0,Turn 1 Braking Zone,72.73,71.7,-1.02,0.0,3.5,3.5,14.7,15.1,0.4,8.3,8.407,0.107,0.0
S02,2,3,225.0,Turn 1 Braking Zone,71.4,70.8,-0.61,16.4,2.5,-13.9,10.1,21.9,11.8,8.552,8.661,0.109,0.04
S02,2,3,230.0,Turn 1 Braking Zone,71.02,68.15,-2.87,34.4,0.1,-34.3,1.4,15.5,14.1,8.806,8.922,0.116,0.14
S02,2,3,235.0,Turn 1 Braking Zone,69.42,66.25,-3.16,0.9,0.0,-0.9,19.3,14.0,-5.3,9.061,9.191,0.13,0.28
S02,2,3,240.0,Turn 1 Braking Zone,67.0,64.06,-2.94,0.1,0.3,0.2,14.3,15.9,1.6,9.327,9.469,0.142,0.24
S02,2,3,245.0,Turn 1 Braking Zone,64.94,63.95,-0.99,4.9,0.0,-4.9,12.0,12.9,0.9,9.602,9.752,0.15,0.16
S02,2,3,250.0,Turn 1 Braking Zone,62.95,63.87,0.92,70.7,0.7,-70.0,2.8,13.2,10.4,9.884,10.035,0.151,0.02
S02,2,3,255.0,Turn 1 Braking Zone,62.92,63.83,0.91,55.6,15.1,-40.5,4.5,13.5,9.0,10.168,10.319,0.151,0.0
S02,2,3,260.0,Turn 1 Braking Zone,63.73,63.71,-0.02,39.7,1.7,-38.0,7.9,13.0,5.2,10.451,10.601,0.15,-0.02
S02,2,3,265.0,Turn 1 Braking Zone,63.15,63.72,0.57,52.5,5.3,-47.2,5.0,13.5,8.5,10.734,10.884,0.15,0.0
S02,2,3,270.0,Turn 1 Braking Zone,64.31,63.66,-0.66,0.0,0.0,0.0,14.7,14.4,-0.2,11.016,11.168,0.152,0.04
S02,2,3,275.0,Turn 1 Braking Zone,63.99,63.52,-0.47,0.0,42.0,42.0,19.0,7.9,-11.1,11.3,11.452,0.152,0.0
S02,2,3,280.0,Turn 1 Medium Left,63.77,63.51,-0.26,0.4,12.4,12.1,14.7,10.1,-4.7,11.582,11.734,0.152,0.0
S02,2,3,285.0,Turn 1 Medium Left,63.57,62.55,-1.02,13.0,31.4,18.4,8.5,0.0,-8.5,11.867,12.02,0.153,0.02
S02,2,3,290.0,Turn 1 Medium Left,63.01,62.5,-0.51,20.3,36.8,16.5,9.3,0.0,-9.3,12.152,12.306,0.154,0.02
S02,2,3,295.0,Turn 1 Medium Left,63.28,62.86,-0.42,14.1,35.4,21.3,7.9,1.1,-6.8,12.437,12.591,0.154,0.0
S02,2,3,300.0,Turn 1 Medium Left,62.74,62.87,0.13,33.9,33.3,-0.7,0.0,0.0,0.0,12.723,12.877,0.154,0.0
S02,2,3,305.0,Turn 1 Medium Left,62.61,62.94,0.33,30.3,36.6,6.3,0.0,0.0,0.0,13.008,13.163,0.155,0.02
S02,2,3,310.0,Turn 1 Medium Left,62.83,63.06,0.24,29.6,19.7,-9.9,0.7,6.3,5.6,13.294,13.448,0.154,-0.02
S02,2,3,315.0,Turn 1 Medium Left,63.04,63.25,0.21,24.8,23.1,-1.7,3.5,5.7,2.2,13.578,13.733,0.155,0.02
S02,2,3,320.0,Turn 1 Medium Left,63.19,63.22,0.03,24.5,31.3,6.7,7.5,2.8,-4.7,13.862,14.019,0.157,0.04
S02,2,3,325.0,Turn 1 Medium Left,63.13,63.32,0.19,18.3,1.1,-17.2,6.0,14.5,8.5,14.148,14.303,0.155,-0.04
S02,2,3,330.0,Turn 1 Medium Left,63.37,63.53,0.16,23.4,4.3,-19.1,3.8,14.5,10.7,14.433,14.589,0.156,0.02
S02,2,3,335.0,Turn 1 Medium Left,63.47,62.69,-0.78,7.4,25.6,18.1,10.6,3.7,-6.9,14.717,14.875,0.158,0.04
S02,2,3,340.0,Turn 1 Medium Left,62.69,62.91,0.22,37.0,21.6,-15.4,0.0,6.4,6.4,15.002,15.16,0.158,0.0
S02,2,3,345.0,Turn 1 Medium Left,62.98,63.16,0.18,30.0,18.6,-11.4,1.9,9.3,7.4,15.287,15.445,0.158,0.0
S02,2,3,350.0,Turn 1 Medium Left,63.21,63.34,0.13,26.9,10.8,-16.1,4.5,10.8,6.3,15.571,15.73,0.159,0.02
S02,2,3,355.0,Turn 1 Medium Left,63.13,62.55,-0.58,35.3,36.1,0.8,0.0,0.0,0.0,15.856,16.017,0.161,0.04
S02,2,3,360.0,Turn 1 Medium Left,63.26,62.65,-0.61,22.4,35.0,12.6,7.2,0.0,-7.2,16.14,16.302,0.162,0.02
S02,2,3,365.0,Turn 1 Medium Left,63.23,62.75,-0.48,28.1,29.2,1.1,3.5,2.1,-1.3,16.425,16.588,0.163,0.02
S02,2,3,370.0,Turn 1 Medium Left,63.33,63.07,-0.26,30.3,25.4,-4.9,1.2,3.6,2.4,16.71,16.873,0.163,0.0
S02,2,3,375.0,Turn 1 Medium Left,63.56,62.81,-0.75,5.7,35.8,30.1,14.4,0.0,-14.4,16.993,17.159,0.166,0.06
S02,2,3,380.0,Turn 1 Medium Left,63.64,62.96,-0.69,9.0,21.4,12.4,10.3,6.3,-4.0,17.278,17.444,0.166,0.0
S02,2,3,385.0,Turn 1 Medium Left,63.05,63.06,0.0,17.7,22.9,5.2,7.2,3.3,-4.0,17.562,17.73,0.168,0.04
S02,2,3,390.0,Back Straight,63.19,63.18,-0.01,47.1,15.2,-31.9,6.7,9.9,3.2,17.847,18.016,0.169,0.02
S02,2,3,395.0,Back Straight,66.44,65.79,-0.65,100.0,100.0,0.0,0.0,0.0,0.0,18.124,18.295,0.171,0.04
S02,2,3,400.0,Back Straight,70.38,69.74,-0.64,97.7,100.0,2.3,0.0,0.0,0.0,18.385,18.557,0.172,0.02
S02,2,3,405.0,Back Straight,73.8,73.33,-0.46,99.3,99.9,0.6,0.0,0.0,0.0,18.632,18.807,0.175,0.06
S02,2,3,410.0,Back Straight,76.95,76.51,-0.43,99.8,99.8,0.0,0.0,0.0,0.0,18.868,19.045,0.177,0.04
S02,2,3,415.0,Back Straight,79.8,79.43,-0.36,97.9,100.0,2.1,0.0,0.0,0.0,19.096,19.274,0.178,0.02
S02,2,3,420.0,Back Straight,82.38,82.07,-0.32,96.7,98.9,2.2,0.0,0.0,0.0,19.317,19.495,0.178,0.0
S02,2,3,425.0,Back Straight,84.74,84.49,-0.26,99.3,100.0,0.7,0.0,0.0,0.0,19.531,19.71,0.179,0.02
S02,2,3,430.0,Back Straight,86.93,86.72,-0.21,100.0,99.8,-0.2,0.0,0.0,0.0,19.739,19.919,0.18,0.02
S02,2,3,435.0,Back Straight,88.97,88.76,-0.22,98.2,98.7,0.5,0.0,0.0,0.0,19.943,20.122,0.179,-0.02
S02,2,3,440.0,Back Straight,90.8,90.62,-0.18,99.4,98.6,-0.7,0.0,0.0,0.0,20.142,20.322,0.18,0.02
S02,2,3,445.0,Back Straight,92.54,92.33,-0.21,99.6,99.3,-0.3,0.0,0.0,0.0,20.337,20.518,0.181,0.02
S02,2,3,450.0,Back Straight,94.16,93.93,-0.22,100.0,100.0,0.0,0.0,0.0,0.0,20.529,20.71,0.181,0.0
S02,2,3,455.0,Back Straight,95.68,95.46,-0.22,90.0,100.0,10.0,0.0,0.0,0.0,20.718,20.9,0.182,0.02
S02,2,3,460.0,Back Straight,96.55,96.5,-0.05,42.4,45.9,3.5,0.0,0.0,0.0,20.904,21.087,0.183,0.02
S02,2,3,465.0,Back Straight,96.93,96.92,-0.01,42.1,43.3,1.2,0.0,0.0,0.0,21.09,21.272,0.182,-0.02
S02,2,3,470.0,Back Straight,97.32,97.32,0.01,39.8,38.5,-1.3,0.0,0.0,0.0,21.276,21.457,0.181,-0.02
S02,2,3,475.0,Back Straight,97.65,97.64,-0.02,41.8,41.5,-0.3,0.0,0.0,0.0,21.46,21.642,0.182,0.02
S02,2,3,480.0,Back Straight,98.02,97.99,-0.04,41.9,42.2,0.4,0.0,0.0,0.0,21.644,21.826,0.182,0.0
S02,2,3,485.0,Back Straight,98.36,98.37,0.01,40.1,44.0,3.8,0.0,0.0,0.0,21.827,22.009,0.182,0.0
S02,2,3,490.0,Back Straight,98.66,98.73,0.08,42.2,43.6,1.4,0.0,0.0,0.0,22.009,22.191,0.182,0.0
S02,2,3,495.0,Back Straight,99.0,99.1,0.09,42.1,39.1,-3.0,0.0,0.0,0.0,22.192,22.373,0.181,-0.02
S02,2,3,500.0,Back Straight,99.31,99.37,0.06,40.5,41.8,1.2,0.0,0.0,0.0,22.373,22.554,0.181,0.0
S02,2,3,505.0,Back Straight,99.61,99.68,0.07,20.5,39.6,19.1,53.8,0.0,-53.8,22.554,22.735,0.181,0.0
S02,2,3,510.0,Back Straight,92.44,99.97,7.52,1.6,35.8,34.2,99.7,15.1,-84.6,22.744,22.915,0.171,-0.2
S02,2,3,515.0,Back Straight,81.77,95.07,13.3,1.6,2.6,1.0,87.0,99.1,12.1,22.957,23.1,0.143,-0.56
S02,2,3,520.0,Back Straight,72.4,84.78,12.38,2.9,0.0,-2.9,58.1,97.1,39.1,23.197,23.306,0.109,-0.68
S02,2,3,525.0,Back Straight,65.75,74.43,8.68,2.2,0.7,-1.5,37.1,61.4,24.3,23.463,23.54,0.077,-0.64
S02,2,3,530.0,Back Straight,61.34,67.26,5.93,0.0,3.2,3.2,22.7,43.9,21.2,23.751,23.799,0.048,-0.58
S02,2,3,535.0,Back Straight,58.77,62.42,3.65,2.5,1.3,-1.1,15.6,19.2,3.7,24.053,24.082,0.029,-0.38
S02,2,3,540.0,Back Straight,56.32,59.79,3.47,0.8,0.0,-0.8,12.5,14.8,2.4,24.369,24.379,0.01,-0.38
S02,2,3,545.0,Back Straight,56.75,57.51,0.76,3.5,0.3,-3.2,12.4,15.0,2.6,24.687,24.688,0.001,-0.18
S02,2,3,550.0,Back Straight,56.88,57.49,0.62,0.0,1.3,1.3,17.3,18.8,1.4,25.008,25.005,-0.003,-0.08
S02,2,3,555.0,Back Straight,56.94,57.38,0.44,0.7,0.0,-0.7,16.6,13.9,-2.7,25.329,25.323,-0.006,-0.06
S02,2,3,560.0,Technical Esses,56.95,57.45,0.51,0.0,0.0,0.0,15.1,16.1,1.0,25.647,25.639,-0.008,-0.04
S02,2,3,565.0,Technical Esses,55.79,55.69,-0.1,21.8,35.5,13.7,4.7,0.0,-4.7,25.969,25.961,-0.008,0.0
S02,2,3,570.0,Technical Esses,55.81,56.01,0.2,30.0,32.8,2.9,0.0,0.0,0.0,26.292,26.282,-0.01,-0.04
S02,2,3,575.0,Technical Esses,55.9,56.24,0.34,5.0,1.5,-3.5,15.4,11.8,-3.6,26.614,26.602,-0.012,-0.04
S02,2,3,580.0,Technical Esses,55.76,55.55,-0.21,12.3,32.8,20.4,9.5,0.0,-9.5,26.938,26.925,-0.013,-0.02
S02,2,3,585.0,Technical Esses,55.65,55.95,0.3,19.2,22.6,3.4,6.0,8.5,2.5,27.261,27.246,-0.015,-0.04
S02,2,3,590.0,Technical Esses,55.61,56.11,0.5,22.6,10.5,-12.1,2.6,8.8,6.3,27.584,27.569,-0.015,0.0
S02,2,3,595.0,Technical Esses,55.69,55.57,-0.12,28.7,25.4,-3.4,0.7,1.2,0.5,27.905,27.891,-0.014,0.02
S02,2,3,600.0,Technical Esses,55.58,55.49,-0.09,11.6,30.7,19.1,15.9,0.0,-15.9,28.228,28.213,-0.015,-0.02
S02,2,3,605.0,Technical Esses,56.08,55.53,-0.54,17.0,31.9,14.9,7.3,0.0,-7.3,28.553,28.535,-0.018,-0.06
S02,2,3,610.0,Technical Esses,55.53,55.79,0.26,27.2,33.2,6.0,3.2,0.0,-3.2,28.876,28.858,-0.018,0.0
S02,2,3,615.0,Technical Esses,55.68,55.97,0.3,25.1,35.0,10.0,0.0,0.0,0.0,29.199,29.179,-0.02,-0.04
S02,2,3,620.0,Technical Esses,55.85,56.31,0.46,22.9,3.3,-19.6,3.6,17.4,13.8,29.523,29.499,-0.024,-0.08
S02,2,3,625.0,Technical Esses,56.12,56.09,-0.03,20.0,6.9,-13.1,6.4,10.4,4.0,29.845,29.821,-0.024,0.0
S02,2,3,630.0,Technical Esses,55.75,56.29,0.55,23.5,16.6,-6.9,4.8,7.5,2.6,30.167,30.143,-0.024,0.0
S02,2,3,635.0,Technical Esses,55.62,55.89,0.27,35.2,32.8,-2.4,0.0,0.0,0.0,30.49,30.464,-0.026,-0.04
S02,2,3,640.0,Technical Esses,55.84,55.93,0.09,27.3,30.0,2.7,2.3,0.0,-2.3,30.813,30.785,-0.028,-0.04
S02,2,3,645.0,Technical Esses,56.06,56.23,0.17,23.6,2.8,-20.8,5.4,12.3,6.9,31.135,31.106,-0.029,-0.02
S02,2,3,650.0,Technical Esses,55.64,56.44,0.8,17.6,8.3,-9.4,6.9,9.9,3.0,31.458,31.426,-0.032,-0.06
S02,2,3,655.0,Technical Esses,55.39,55.77,0.38,26.6,30.3,3.7,3.1,0.0,-3.1,31.781,31.748,-0.033,-0.02
S02,2,3,660.0,Technical Esses,55.36,56.0,0.64,34.3,31.1,-3.2,0.0,0.0,0.0,32.104,32.069,-0.035,-0.04
S02,2,3,665.0,Technical Esses,55.68,56.29,0.62,22.9,4.0,-19.0,4.1,12.9,8.8,32.426,32.389,-0.037,-0.04
S02,2,3,670.0,Technical Esses,55.85,56.4,0.55,15.1,4.0,-11.2,7.3,13.5,6.2,32.749,32.71,-0.039,-0.04
S02,2,3,675.0,Technical Esses,56.3,55.67,-0.62,11.7,31.4,19.6,11.9,0.0,-11.9,33.072,33.033,-0.039,0.0
S02,2,3,680.0,Technical Esses,55.31,55.81,0.5,31.7,31.3,-0.3,0.9,0.0,-0.9,33.395,33.354,-0.041,-0.04
S02,2,3,685.0,Technical Esses,55.51,56.15,0.65,28.3,10.5,-17.9,3.2,11.0,7.8,33.717,33.675,-0.042,-0.02
S02,2,3,690.0,Technical Esses,55.69,56.46,0.77,21.0,1.3,-19.7,8.0,13.4,5.3,34.042,33.996,-0.046,-0.08
S02,2,3,695.0,Technical Esses,55.78,55.43,-0.35,11.5,28.6,17.0,10.6,0.0,-10.6,34.366,34.319,-0.047,-0.02
S02,2,3,700.0,Long Straight,55.97,55.69,-0.27,92.8,61.9,-30.9,0.0,0.0,0.0,34.69,34.641,-0.049,-0.04
S02,2,3,705.0,Long Straight,60.99,60.27,-0.72,99.7,95.2,-4.5,0.0,0.0,0.0,34.993,34.949,-0.044,0.1
S02,2,3,710.0,Long Straight,65.58,64.83,-0.75,100.0,99.7,-0.3,0.0,0.0,0.0,35.274,35.233,-0.041,0.06
S02,2,3,715.0,Long Straight,69.54,68.91,-0.62,98.2,98.2,0.0,0.0,0.0,0.0,35.537,35.499,-0.038,0.06
S02,2,3,720.0,Long Straight,73.1,72.48,-0.62,99.9,98.9,-1.0,0.0,0.0,0.0,35.787,35.751,-0.036,0.04
S02,2,3,725.0,Long Straight,76.35,75.77,-0.57,100.0,100.0,0.0,0.0,0.0,0.0,36.026,35.992,-0.034,0.04
S02,2,3,730.0,Long Straight,79.25,78.75,-0.5,98.4,99.9,1.5,0.0,0.0,0.0,36.255,36.223,-0.032,0.04
S02,2,3,735.0,Long Straight,81.9,81.46,-0.44,97.9,99.0,1.1,0.0,0.0,0.0,36.477,36.446,-0.031,0.02
S02,2,3,740.0,Long Straight,84.28,83.91,-0.37,98.5,99.8,1.3,0.0,0.0,0.0,36.692,36.662,-0.03,0.02
S02,2,3,745.0,Long Straight,86.51,86.18,-0.34,98.6,99.6,1.0,0.0,0.0,0.0,36.901,36.872,-0.029,0.02
S02,2,3,750.0,Long Straight,88.55,88.26,-0.29,98.8,98.8,-0.0,0.0,0.0,0.0,37.106,37.077,-0.029,0.0
S02,2,3,755.0,Long Straight,90.46,90.18,-0.28,100.0,99.9,-0.1,0.0,0.0,0.0,37.306,37.278,-0.028,0.02
S02,2,3,760.0,Long Straight,92.23,91.96,-0.27,99.9,95.9,-4.0,0.0,0.0,0.0,37.502,37.475,-0.027,0.02
S02,2,3,765.0,Long Straight,93.86,93.58,-0.28,98.6,98.6,0.0,0.0,0.0,0.0,37.695,37.668,-0.027,0.0
S02,2,3,770.0,Long Straight,95.35,95.11,-0.24,99.4,100.0,0.6,0.0,0.0,0.0,37.884,37.858,-0.026,0.02
S02,2,3,775.0,Long Straight,96.77,96.55,-0.22,98.7,97.9,-0.8,0.0,0.0,0.0,38.071,38.045,-0.026,0.0
S02,2,3,780.0,Long Straight,98.09,97.85,-0.24,99.4,98.6,-0.8,0.0,0.0,0.0,38.255,38.229,-0.026,0.0
S02,2,3,785.0,Long Straight,99.32,99.1,-0.22,99.2,96.9,-2.3,0.0,0.0,0.0,38.436,38.412,-0.024,0.04
S02,2,3,790.0,Long Straight,100.47,100.26,-0.21,99.6,100.0,0.4,0.0,0.0,0.0,38.616,38.591,-0.025,-0.02
S02,2,3,795.0,Long Straight,101.55,101.37,-0.18,98.7,99.7,0.9,0.0,0.0,0.0,38.794,38.77,-0.024,0.02
S02,2,3,800.0,Long Straight,102.57,102.4,-0.17,100.0,99.7,-0.3,0.0,0.0,0.0,38.969,38.945,-0.024,0.0
S02,2,3,805.0,Long Straight,103.54,103.37,-0.16,99.7,96.7,-3.0,0.0,0.0,0.0,39.144,39.12,-0.024,0.0
S02,2,3,810.0,Long Straight,104.43,104.26,-0.17,99.4,97.7,-1.6,0.0,0.0,0.0,39.316,39.293,-0.023,0.02
S02,2,3,815.0,Long Straight,105.26,105.09,-0.18,99.5,96.9,-2.6,0.0,0.0,0.0,39.488,39.465,-0.023,0.0
S02,2,3,820.0,Long Straight,106.07,105.87,-0.19,100.0,100.0,0.0,0.0,0.0,0.0,39.658,39.635,-0.023,0.0
S02,2,3,825.0,Long Straight,106.81,106.64,-0.18,98.5,98.4,-0.1,0.0,0.0,0.0,39.826,39.804,-0.022,0.02
S02,2,3,830.0,Long Straight,107.5,107.34,-0.15,99.7,97.5,-2.2,0.0,0.0,0.0,39.994,39.972,-0.022,0.0
S02,2,3,835.0,Long Straight,108.16,108.0,-0.16,97.3,99.9,2.5,0.0,0.0,0.0,40.16,40.139,-0.021,0.02
S02,2,3,840.0,Long Straight,108.77,108.64,-0.13,99.6,99.0,-0.7,0.0,0.0,0.0,40.326,40.305,-0.021,0.0
S02,2,3,845.0,Long Straight,109.36,109.23,-0.13,95.1,99.5,4.4,0.0,0.0,0.0,40.491,40.469,-0.022,-0.02
S02,2,3,850.0,Long Straight,109.89,109.8,-0.09,99.3,99.4,0.1,0.0,0.0,0.0,40.655,40.634,-0.021,0.02
S02,2,3,855.0,Long Straight,110.42,110.34,-0.08,100.0,100.0,0.0,0.0,0.0,0.0,40.818,40.797,-0.021,0.0
S02,2,3,860.0,Long Straight,110.92,110.84,-0.08,100.0,99.9,-0.1,0.0,0.0,0.0,40.981,40.959,-0.022,-0.02
S02,2,3,865.0,Long Straight,111.4,111.32,-0.08,99.7,79.3,-20.4,0.0,20.8,20.8,41.142,41.121,-0.021,0.02
S02,2,3,870.0,Long Straight,111.85,107.28,-4.57,96.8,0.4,-96.4,3.2,99.7,96.5,41.303,41.286,-0.017,0.08
S02,2,3,875.0,Long Straight,108.72,98.25,-10.47,3.0,0.0,-3.0,100.0,98.9,-1.1,41.467,41.466,-0.001,0.32
S02,2,3,880.0,Long Straight,99.84,88.43,-11.41,0.8,0.0,-0.8,98.7,99.1,0.4,41.644,41.664,0.02,0.42
S02,2,3,885.0,Long Straight,90.13,77.28,-12.85,0.0,0.0,0.0,100.0,99.8,-0.2,41.838,41.888,0.05,0.6
S02,2,3,890.0,Long Straight,79.08,63.97,-15.11,0.0,1.0,1.0,99.6,99.5,-0.1,42.058,42.153,0.095,0.9
S02,2,3,895.0,Long Straight,66.26,49.29,-16.97,0.3,0.5,0.2,99.5,51.7,-47.8,42.314,42.487,0.173,1.56
S02,2,3,900.0,Long Straight,51.31,41.65,-9.66,1.9,0.2,-1.7,64.0,18.2,-45.8,42.635,42.896,0.261,1.76
S02,2,3,905.0,Long Straight,42.4,39.56,-2.84,1.4,51.0,49.6,22.2,6.8,-15.4,43.035,43.348,0.313,1.04
S02,2,3,910.0,Long Straight,38.3,40.36,2.07,88.2,1.5,-86.7,1.9,13.2,11.2,43.488,43.803,0.315,0.04
S02,2,3,915.0,Long Straight,38.99,40.04,1.05,54.5,1.9,-52.7,7.0,15.2,8.2,43.946,44.259,0.313,-0.04
S02,2,3,920.0,Hairpin,39.87,39.45,-0.42,0.1,0.6,0.5,15.0,15.5,0.5,44.4,44.718,0.318,0.1
S02,2,3,925.0,Hairpin,38.73,38.39,-0.34,20.8,22.1,1.3,3.6,2.3,-1.3,44.864,45.184,0.32,0.04
S02,2,3,930.0,Hairpin,39.14,38.42,-0.72,8.3,17.4,9.1,12.7,5.6,-7.1,45.328,45.654,0.326,0.12
S02,2,3,935.0,Hairpin,39.2,38.62,-0.57,4.7,7.1,2.4,11.8,12.4,0.6,45.794,46.12,0.326,0.0
S02,2,3,940.0,Hairpin,38.44,38.7,0.26,16.4,4.3,-12.2,6.8,12.6,5.8,46.258,46.587,0.329,0.06
