session_id,lap_number,sector,sector_time_s,avg_speed_kmh,min_speed_kmh,max_speed_kmh,avg_throttle_pct,peak_brake_pct,gap_to_sector_best_s
S03,5,Sector 1,17.6,80.06,63.82,112.93,45.45,98.0,0.0
S03,5,Sector 2,16.3,68.29,56.62,100.32,35.04,100.0,0.0
S03,5,Sector 3,22.9,63.02,38.8,112.05,48.1,100.0,0.1
S03,6,Sector 1,17.7,79.46,63.24,112.8,44.82,97.4,0.1
S03,6,Sector 2,16.5,67.81,55.9,100.32,35.77,100.0,0.2
S03,6,Sector 3,23.0,62.7,38.41,111.95,47.6,100.0,0.2
S03,7,Sector 1,17.7,79.44,63.34,112.77,44.95,100.0,0.1
S03,7,Sector 2,16.5,67.77,55.93,100.23,35.84,100.0,0.2
S03,7,Sector 3,23.0,62.56,38.46,111.91,47.72,100.0,0.2
S03,8,Sector 1,17.6,79.88,63.68,112.84,45.42,98.5,0.0
S03,8,Sector 2,16.4,68.31,56.37,100.33,35.42,100.0,0.1
S03,8,Sector 3,22.8,62.95,38.7,112.0,47.99,100.0,0.0
S04,1,Sector 1,20.1,69.64,0.0,109.92,52.8,100.0,2.4
S04,1,Sector 2,16.5,67.81,55.88,100.56,35.94,100.0,0.1
S04,1,Sector 3,23.0,62.42,38.36,111.84,47.4,100.0,0.1
S04,2,Sector 1,17.8,79.16,63.1,112.93,45.46,100.0,0.1
S04,2,Sector 2,16.5,67.52,55.71,100.26,35.57,100.0,0.1
S04,2,Sector 3,23.1,62.21,38.21,111.83,47.77,100.0,0.2
S04,3,Sector 1,17.7,79.57,63.55,112.93,45.53,100.0,0.0
S04,3,Sector 2,16.4,68.12,56.32,100.03,34.97,100.0,0.0
S04,3,Sector 3,22.9,62.74,38.6,111.89,48.07,100.0,0.0
S04,4,Sector 1,17.9,78.82,62.24,112.86,44.99,100.0,0.2
S04,4,Sector 2,16.6,67.17,55.18,100.1,35.35,100.0,0.2
S04,4,Sector 3,23.2,61.94,37.98,111.69,47.29,100.0,0.3
S04,5,Sector 1,17.8,79.16,63.2,112.89,45.51,100.0,0.1
S04,5,Sector 2,16.5,67.58,55.99,100.37,35.58,100.0,0.1
S04,5,Sector 3,23.0,62.45,38.38,111.95,47.83,100.0,0.1
S04,6,Sector 1,17.8,78.99,62.72,112.82,44.9,96.1,0.1
S04,6,Sector 2,16.6,67.47,55.58,100.41,35.2,100.0,0.2
S04,6,Sector 3,23.2,62.01,38.01,111.76,47.62,100.0,0.3
S04,7,Sector 1,17.8,79.01,62.85,112.91,45.64,97.6,0.1
S04,7,Sector 2,16.5,67.64,55.72,100.36,35.45,100.0,0.1
S04,7,Sector 3,23.1,62.48,38.31,111.99,47.34,100.0,0.2
S04,8,Sector 1,17.7,79.53,63.54,112.91,45.68,100.0,0.0
S04,8,Sector 2,16.4,68.15,56.31,100.19,34.93,99.5,0.0
S04,8,Sector 3,22.9,62.87,38.55,112.03,47.95,100.0,0.0
S05,1,Sector 1,19.6,71.33,0.0,110.0,53.64,86.8,2.4
S05,1,Sector 2,16.1,69.66,58.2,100.21,34.9,100.0,0.3
S05,1,Sector 3,22.4,64.03,40.01,111.98,48.59,100.0,0.1
S05,2,Sector 1,17.2,81.99,66.24,112.83,45.43,95.6,0.0
S05,2,Sector 2,15.9,70.25,58.72,100.36,35.03,100.0,0.1
S05,2,Sector 3,22.4,64.26,40.21,112.05,48.67,100.0,0.1
S05,3,Sector 1,17.2,81.82,66.03,112.8,45.16,93.8,0.0
S05,3,Sector 2,15.9,70.18,58.59,100.63,35.37,100.0,0.1
S05,3,Sector 3,22.4,64.23,40.22,112.11,48.57,100.0,0.1
S05,4,Sector 1,17.2,81.86,66.18,112.8,45.16,92.0,0.0
S05,4,Sector 2,15.9,70.17,58.63,100.31,34.86,100.0,0.1
S05,4,Sector 3,22.4,64.25,40.29,112.09,48.48,100.0,0.1
S05,5,Sector 1,17.2,81.82,65.94,112.83,45.27,96.0,0.0
S05,5,Sector 2,16.0,69.99,58.47,100.34,34.75,100.0,0.2
S05,5,Sector 3,22.3,64.34,40.18,112.14,49.08,100.0,0.0
S05,6,Sector 1,17.2,81.84,66.12,112.78,44.99,91.4,0.0
S05,6,Sector 2,16.0,69.94,58.51,100.54,35.18,100.0,0.2
S05,6,Sector 3,22.4,64.2,40.17,112.1,48.78,100.0,0.1
S05,7,Sector 1,17.2,82.0,66.48,112.91,45.59,95.7,0.0
S05,7,Sector 2,15.8,70.41,58.69,100.35,35.17,100.0,0.0
S05,7,Sector 3,22.3,64.79,40.26,112.23,49.34,100.0,0.0
S05,8,Sector 1,17.2,81.8,65.84,112.93,45.49,100.0,0.0
S05,8,Sector 2,16.0,69.76,58.34,100.45,35.19,100.0,0.2
S05,8,Sector 3,22.4,64.35,39.98,112.25,49.02,100.0,0.1
S06,1,Sector 1,20.1,69.84,0.0,109.91,52.37,100.0,2.6
S06,1,Sector 2,16.4,67.74,56.19,100.0,35.34,100.0,0.1
S06,1,Sector 3,23.0,62.82,38.54,112.07,47.86,100.0,0.4
S06,2,Sector 1,17.5,80.37,64.61,112.76,45.78,100.0,0.0
S06,2,Sector 2,16.3,68.71,57.21,100.32,35.03,99.3,0.0
S06,2,Sector 3,22.6,63.6,39.18,112.12,48.45,100.0,0.0
S06,3,Sector 1,17.6,79.85,63.54,112.74,44.89,100.0,0.1
S06,3,Sector 2,16.4,68.1,56.34,100.3,35.8,100.0,0.1
S06,3,Sector 3,23.0,62.6,38.57,111.92,47.88,100.0,0.4
S06,4,Sector 1,17.6,79.97,63.81,112.82,45.62,100.0,0.1
S06,4,Sector 2,16.4,68.29,56.49,100.46,35.43,100.0,0.1
S06,4,Sector 3,22.7,63.18,38.73,112.06,48.05,100.0,0.1
S06,5,Sector 1,17.5,80.33,64.43,112.83,45.5,97.8,0.0
S06,5,Sector 2,16.3,68.8,56.91,100.6,35.17,100.0,0.0
S06,5,Sector 3,22.6,63.57,39.04,112.11,48.33,100.0,0.0
S06,6,Sector 1,17.6,79.86,63.68,112.82,45.16,100.0,0.1
S06,6,Sector 2,16.4,68.28,56.56,100.21,35.57,100.0,0.1
S06,6,Sector 3,22.8,63.07,38.76,112.06,48.07,100.0,0.2
S06,7,Sector 1,17.6,80.13,64.13,112.88,45.51,100.0,0.1
S06,7,Sector 2,16.3,68.28,56.88,99.99,35.49,100.0,0.0
S06,7,Sector 3,22.8,63.33,38.92,112.07,47.8,100.0,0.2
S06,8,Sector 1,17.6,80.08,64.11,112.93,45.69,100.0,0.1
S06,8,Sector 2,16.3,68.31,56.64,100.09,35.13,100.0,0.0
S06,8,Sector 3,22.8,63.23,38.98,111.94,48.08,100.0,0.2
